episode_id,success,category,distance_to_goal,ndtw,oracle_success,steps,instruction
825,0,STOPPED_WRONG,26.91,0.0,1,252,Turn until you're facing the red carpet that creates a path for tourists to walk on. Then move forward passing a couple of chairs on your right until you pass through a double door opening and the carpet takes an approximately thirty degree turn to the right. Stop just after the carpet makes that turn.
677,0,STOPPED_WRONG,19.93,0.0,1,500,"Go all the way down the hall until you see a white vase and then make a left. Following that, make a left directly into the bathroom which will be the first door on the left and wait there."
548,0,STOPPED_WRONG,17.69,0.007,1,147,Turn to the right and walk forward.
878,0,STOPPED_WRONG,15.75,0.004,1,139,Walk straight all the way ahead passing both the semi circle brown tables on the right. Stop in front of the four beige cushioned sofa seats that are placed in a circle.
366,0,STOPPED_WRONG,14.27,0.012,1,287,"Walk to the end of the hallway, pass the bathroom and wait by the laundry room."
1301,0,STOPPED_WRONG,13.75,0.03,1,108,Walk forward and enter the next room.  Stop at the doors on the far side.
625,0,STOPPED_WRONG,13.26,0.017,1,103,"Wall through the room to the next set of doors. You will see a gray plaque saying ""SALA XVI"" on the floor to your left. If you don't, you went the wrong way. Turn around and go the correct way."
659,0,STOPPED_WRONG,13.09,0.009,1,135,Go to the sink and turn right. Go to the first chair. Go to the left side of the dining table.
1619,0,STOPPED_WRONG,12.76,0.0,1,244,Go around the roped area and through the door on the left. Walk straight and stop left of the table and chairs.
545,0,STOPPED_WRONG,12.32,0.024,1,191,Turn toward the kitchen and walk through the doorway on the right.  Go into the room on the right that has the wall of mirrors.  Stop in front of the closet on the left.
459,0,STOPPED_WRONG,12.21,0.1,1,109,Walk straight and to the right of the table and through the doorway. Wait in front of the bench.
168,0,STOPPED_WRONG,11.78,0.023,1,120,Walk through double doors into the house. Continue around the dining table and through the entry way to the next room. Walk up to the couch and armchairs surrounding a coffee table.
1768,0,STOPPED_WRONG,11.64,0.023,1,223,Walk to the foot of the bed and turn right. Walk to the other end of the foot and turn right. Walk forward. Wait on the run in front of the bathroom.
438,0,STOPPED_WRONG,11.25,0.184,1,361,Walk down the stairs and go straight down the hallway. Turn left into the room and wait near the dining table.
72,0,STOPPED_WRONG,11.09,0.042,1,500,"leave sitting room and head towards the kitchen, turn right at living room and enter. walk through living room to dinning room and enter. Turn left and head to front door. Exit the house and stop on porch."
1373,0,STOPPED_WRONG,10.82,0.018,1,73,Leave this sitting room and head towards the kitchen. Enter the pantry through the first door on the left. Stop once you pass the archway.
972,0,STOPPED_WRONG,9.67,0.015,1,209,"Go stand underneath the stairs, next to the liquor shelf."
1398,0,STOPPED_WRONG,9.56,0.018,1,150,Walk past the end table and turn right into the kitchen. Walk to the left of the island past the oven into the next room and stop.
1231,0,STOPPED_WRONG,9.42,0.097,1,120,"Walk through the room, past everything and towards the further window, stopping once you're near the steps and making a right turn, stop once you're near the chairs."
660,0,STOPPED_WRONG,8.73,0.155,1,62,Head towards the sink. Turn to the right and walk towards the table. Turn and walk behind the chair on the left side of the table. Stop behind the chair looking out at the backyard.
1803,0,STOPPED_WRONG,8.38,0.428,1,79,"Walk through the vaulted hallway right next to you, and turn right, continuing through the opening that's just to the left of the stairs leading upwards. Continue forward, this time going through the door opening to the left of the mirror, stopping next to the bed on your right."
1434,0,STOPPED_WRONG,8.21,0.182,1,99,"Walk to the right side of the couch and stand in front of a grill/oven.  Turn right and walk through the room with the microwaves, leaving on the opposite side.  Stop after stepping through the doorway out of the microwave room."
119,0,STOPPED_WRONG,7.66,0.369,1,356,Walk into the bedroom area. Walk passed the bed and through the door. Walk down the hallway and into the bedroom with the striped bed backboard and golden blanket laying on top.
211,0,STOPPED_WRONG,6.72,0.513,1,76,"Go to the newspaper rack
Go to the post
Go to the rugs on the table
Go to the 2 metre high lamp."
1603,0,STOPPED_WRONG,6.71,0.434,1,84,Exit the spa room and go past the pool. Make a left at the bar and go up three steps. Wait in the doorway.
822,0,STOPPED_WRONG,6.62,0.565,1,68,Turn around and walk out of the room into the hallway. Walk down the hallway and then turn left in the first hallway on on your left. Walk into the hallway and turn left into the kitchen storage area and stop right before you reach the sink.
402,0,STOPPED_WRONG,6.5,0.201,1,65,Walk down the stairs. Walk forward and stop next to the door that is next to the recycling bin.
848,0,STOPPED_WRONG,6.34,0.353,1,81,Exit the room using the second door on the right then go straight until you get to the glass sign that has a red arrow on it.
267,0,STOPPED_WRONG,6.09,0.048,1,500,Walk towards the ovens and into the hallway on the right of the oven. Enter the second door on your left and go into the bathroom. Stop inside the doorway to the bathroom.
157,0,STOPPED_WRONG,6.07,0.394,1,70,Walk across the room into the hallway second to the right from the stairs. Walk past the open door on the right.  Stop in front of the closed doors on the right.
278,0,STOPPED_WRONG,6.06,0.051,1,159,Walk passed kitchen and turn right. Turn left into room passed table and chairs. Wait behind white couch.
770,0,STOPPED_WRONG,6.05,0.67,1,206,"Go up two flights of stairs, and go into the middle room.  Stop in front of the table."
824,0,STOPPED_WRONG,5.81,0.345,1,74,Turn around and walk down the red rug and cross the room. Stop once you enter the next room and stop.
701,0,STOPPED_WRONG,5.78,0.555,1,72,Turn around walk through the exercise room into the living room.  Wait by the Giraffi.
242,0,STOPPED_WRONG,5.72,0.513,1,211,"Exit the living room, turn left, wait at the bottom of the stairs."
1397,0,STOPPED_WRONG,5.69,0.0,1,500,Go straight then turn right and go into the kitchen. Turn left and walk through the kitchen . When you pass the fridge on the right wait near the phone on the left.
1082,0,STOPPED_WRONG,5.6,0.701,1,137,Exit the bathroom. Turn left and walk toward the room. When you get to the bed turn right and go out the door on the right. Turn left and go down five steps.
33,0,STOPPED_WRONG,5.56,0.571,1,52,Exit the room into the hallway. Go into the room on the left and wait next to the massage table.
958,0,STOPPED_WRONG,5.5,0.74,1,50,"Go down the hallway, turn left in the circle room, go into the doorway before the mirror and take a few steps in and stop."
296,0,STOPPED_WRONG,5.4,0.292,1,92,Move forward with the long table to your right. Move between the wall corner and wooden beam. Turn right and move between the smaller green chair and the bigger beige chair. Continue moving forward with the large wooden cabinet to your right. Turn 30 degrees to the right and pass between the small green chair and the tall floor lamp. Move around the wooden beam in front of you and then stop.
837,0,STOPPED_WRONG,5.29,0.657,1,36,Go upstairs and enter the bedroom on the right.
1528,0,STOPPED_WRONG,5.28,0.236,1,323,Exit sitting room and turn left.  Walk towards the staircase and turn left. Go down the stairs and stop on the second step.
1539,0,STOPPED_WRONG,5.23,0.515,1,149,"Leave the bathroom through the door by the toilet and turn right. Turn right into the hallway, walk through the arched opening, and turn right. Stop near the the first black chair at the bar."
1034,0,STOPPED_WRONG,5.22,0.372,1,97,"With your back faced towards the doorway leading outside, walk through the door with the wooden frame and into the kitchen area. Take an immediate right and walk into the kitchen area. There should be counter tops on either side of you. Walk past the fridge and sink and through the door. Once past the door you should see the entrance of a bathroom and there you will reach your destination."
879,0,STOPPED_WRONG,5.18,0.566,1,78,"With the tapestry and large white vase behind you, walk straight down the hallway with all the windows.  Stop when a sitting room appears on your right.  Stop in the middle of the hallway in front of the opening to this room."
543,0,STOPPED_WRONG,5.11,0.475,1,84,Go up the stairs. At the top of the stairs step on the rug. Stop on the rug close to the window on the right.
1712,0,STOPPED_WRONG,5.07,0.666,1,41,Go straight and then turn left. Go passed the railing of the stairs towards the jugs. Then turn left and stop in the double french doors.
938,0,STOPPED_WRONG,5.05,0.481,1,500,Go down the hallway and wait in the room next to the stairs.
1214,0,STOPPED_WRONG,4.99,0.55,1,76,Turn around and go through the archway. Turn left and take the extreme left. Stop near the mantle.
1557,0,STOPPED_WRONG,4.95,0.653,1,99,Turn around and go passed the dining room table. Enter the doors next to the red chairs. Go down the hallway and enter the doors on the right.
1530,0,STOPPED_WRONG,4.93,0.687,1,65,"Turn around and exit the room. Once out turn left and walk towards the steps. At the large black steps, turn left and walk down the few small wood steps and stop at the bottom."
